,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03691837983977378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000,0.0,0.0,0.049063119665371184,0.0,0.0,0.0,0.0,0.0,0.02796956554675604,0.055767577602499466,0.054942984329639385,0.0,0.0,0.14046016974642686,0.23547839713682023,0.0,0.0,0.0,0.03270976354868455,0.0,0.1038733556630429,0.0,0.019363234614740897,0.0
0110,0.0,0.0,0.0,0.0,0.0,0.0866646532673047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02,0.0,0.0,0.0,0.07816754197305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03065069830401873,0.0,0.0,0.0,0.047012072426295654,0.0,0.0,0.0,0.0,0.0,0.0,0.05724386027195652,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249388578234883,0.0,0.0,0.05464755217340304,0.0,0.0,0.0,0.0,0.02227065436652588,0.0,0.0,0.0,0.026367167398260616,0.0
100k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03691837983977378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.02695592915343542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258408443254277,0.0,0.0,0.0,0.0
105,0.0,0.0,0.07252306813688762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02707148005371501,0.0,0.0,0.0,0.04350929974692402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018409124501752947,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.062800048669966,0.0,0.0,0.0,0.0,0.041343451491491844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02862193013597826,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05356516016171508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340utc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03815108104094109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.07816754197305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045542366848243206,0.0,0.0,0.0,0.04307193102676189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
